1;NordavindDNB|riolu!;367292971
2;Law¬тєснηо.STIHL;321715831
3;racehans.STIHL;120813271
4;»Kripke;96607867
5;»мєс¬ｱんﾉﾚ〢ғฟ๏;42511339
6;!dameager!;34696189
7;TnT|Lucario;32717225
8;«厶ア»Runner;27273253
9;λиפгıIZeŗefIıмєс;24457829
10;ғฟ๏〢Schmaniol.STIHL;21175176
11;Ŀĸя¬Τυявοॆ;20753393
12;always²;18385561
13;(((๙ครใวคภツ.8.1;13707555
14;Spee:D;10833617
15;#U.1.L.Constantin;10382513
16;TSMGranaDy!STIHL;10231001
17;»ЯтА«Blizz;9986192
18;DerruppigePinkipu;9922233
19;»мєс¬TMshocko.0;9337125
20;ѕтух.STIHL;8377987
21;λиפгıIjooey;7555402
22;Visionary;7352993
23;fвĭŴέŖήi;6791070
24;Steffen93;6249229
25;»кıllєя«''';5862030
26;ฬคงε.PhilKos;5596374
27;|lDgAl|ИैaHCॆo3;5260148
28;Chaos;5218546
29;Ŀĸя¬M4x1.STIHL;5097996
30;heinrichsson;5070387
31;~Zaitsev`;4929372
32;|lDgAl|HeXeRMaNBF;4746886
33;TnT.ezom;4601141
34;euklid;4551522
35;teddyleins_zweit_frau;4271859
36;chen65;4228066
37;TnTpassiI|GC;4128497
38;ғฟ๏.Logic;3896438
39;Akira;3843684
40;Ebro;3798276
41;тв»פаякι!;3748067
42;|ηงίऽ๋ίъוэ«đampf॥;3538919
43;»TaC«ङैɷÐɷMツ;3456423
44;Ŀυсĸеяѕ¬Ðēτเתน;3411921
45;-NukeDragon-;3137394
46;XR~Mr.Bones;3109011
47;Ŗėvėη'Дтzε-Ρεηĝ;3051798
48;exÐ|Bladee;3022522
49;leandagu';2988629
50;nbspŁĬżť@Z;2708337
51;ςс๙єωの¬メูล๏๙ื็ภ����;2705160
52;Neyter;2666187
53;Jaeger;2560702
54;GNDjinho;2514711
55;Һקςоופεוѕε;2513866
56;|lDgAl|ИैaHCॆo3;2499499
57;989.kH;2419119
58;.asozialer.hal.ko;2389017
59;Dunno|Neon;2351751
60;10°Lนkε«;2324920
61;Ńitřoχツ;2253002
62;Јσнηηуғιχะ;2182528
63;Maddin-GÖ;2106343
64;хγ»looo;2094307
65;Junidan龍;2089697
66;EasyืX;2082433
67;UwS||Franzis²;2072162
68;ΧЯ//Асίδ*GG;2024498
69;Hyker///нот;2015885
70;Germany///Paddi.iGn;1978319
71;Mini;1977532
72;Nasenbär;1971411
73;Schnuffi;1934410
74;thewne;1931491
75;apΧ.คใεאD;1929775
76;sebi;1920621
77;Crucial;1898093
78;zero|Skywalker;1877882
79;&#60DoPN&#62Jan;1870799
80;ѕтι¬Gै२६ॆiिु〤;1765604
81;Spud_Murphy;1754896
82;LSD|Dengel;1754776
83;oldschmaniaccount;1752098
84;Achmedツ;1745375
85;פэ//ไ»є๔๔уッєу;1740514
86;ŋξţźÔňξ;1720893
87;ScrewD.¬Kenji;1702736
88;meow²;1681545
89;FISCH;1680759
90;UGUMULUGU;1659224
91;Penisotter;1651841
92;ѕקεεの»Alecz;1622627
93;TnTのiהgò.Óｯ;1617327
94;»хтвн;1616709
95;ĐξvïLツ°;1610487
96;Frosch;1599695
97;da¢SP´killervirus.シ;1590929
98;DrehspießfleischimBrot;1580462
99;ЯҒ»Ritus!;1576150
100;νѕρ.Luuuke!;1561639
